hour,avg_base_fee,avg_gas_limit,avg_gas_used,avg_tcount
2022-09-28 02:00:00,14357302084.090302,30000000.0,15389729.448160527,172.67892976588624
2022-09-28 03:00:00,9809181399.1689167,30000000.0,15161053.479729725,143.87499999999994
2022-09-28 04:00:00,9060877044.5335655,29999901.600671124,15365989.077181211,134.41275167785236
2022-09-28 05:00:00,9149012644.3724861,29999901.600671131,15333810.127516784,123.51006711409396
2022-09-28 06:00:00,8964688658.9697857,29999901.600671139,15312669.684563754,136.72483221476509
2022-09-28 07:00:00,11912259707.166674,30000000.0,15440339.413333327,129.35000000000002
2022-09-28 08:00:00,12642590935.765892,30000000.0,15280337.190635448,134.99331103678935
2022-09-28 09:00:00,10565909689.5117,29999901.92976588,15160290.85953177,148.91304347826082
2022-09-28 10:00:00,9555295930.989933,30000098.211409394,15210195.832214762,165.75167785234905
2022-09-28 11:00:00,9337825824.702343,30000000.0,15335543.080267558,183.63879598662223
2022-09-28 12:00:00,14105222985.569019,30000000.0,15511575.58585858,158.89562289562303
2022-09-28 13:00:00,14883242577.369131,30000000.0,15298456.520134231,163.6241610738256
2022-09-28 14:00:00,15596230083.493341,30000000.0,15292628.266666664,163.67666666666656
2022-09-28 15:00:00,16964455922.906349,30000000.0,15289706.555183945,159.67224080267539
2022-09-28 16:00:00,18797609017.429543,30000000.0,15230493.241610738,159.32214765100665
2022-09-28 17:00:00,29636738221.852848,30000000.0,15968029.608695652,182.41471571906345
2022-09-28 18:00:00,31208641830.26667,30000000.0,14884535.576666664,162.55999999999983
2022-09-28 19:00:00,18264774115.326588,30000000.0,15098194.407407409,149.72727272727272
2022-09-28 20:00:00,12453404794.892609,29999901.600671146,15265874.513422817,152.57046979865771
2022-09-28 21:00:00,13316080518.979939,29999803.953177251,15368970.68896321,155.21739130434773
2022-09-28 22:00:00,10313489726.1505,30000000.0,15134786.655518385,167.34113712374577
2022-09-28 23:00:00,7543629297.7986631,29999901.600671135,15138283.18456375,150.55369127516778
2022-09-29 00:00:00,8522981004.1103745,30000000.0,15388506.013377922,153.73578595317716
2022-09-29 01:00:00,10564660092.330009,30000000.0,15267923.726666672,146.16666666666674
2022-09-29 02:00:00,8745547967.4214058,29999901.92976588,15349606.24080267,144.29096989966561
2022-09-29 03:00:00,10444360821.364548,30000000.0,15407870.585284285,150.35451505016724
2022-09-29 04:00:00,8648015723.9632072,30000097.976588625,15253983.023411376,145.12709030100334
2022-09-29 05:00:00,8698243474.8859138,30000000.0,15248563.802013425,141.21140939597319
2022-09-29 06:00:00,10074892053.872046,30000000.0,15343792.124579124,151.17171717171706
2022-09-29 07:00:00,9453096105.3311081,30000000.0,15368098.167224083,150.91304347826093
2022-09-29 08:00:00,9572671901.02341,29999901.929765888,15279490.214046823,147.23411371237444
2022-09-29 09:00:00,8058470697.695652,30000000.0,15184763.230769239,150.71237458193986
2022-09-29 10:00:00,6564765664.6778526,30000000.0,15293220.459731538,167.15100671140939
2022-09-29 11:00:00,7988097012.9124565,30000000.0,15472218.98989898,158.36700336700326
2022-09-29 12:00:00,10956170308.747475,29999901.269360259,15416050.255892249,162.52188552188545
2022-09-29 13:00:00,16647258820.888515,30000000.0,15385974.347972976,168.24324324324326
2022-09-29 14:00:00,20398830640.885929,29999901.600671142,15479065.667785233,167.04697986577168
2022-09-29 15:00:00,19983814433.589233,29999901.269360263,15208503.282828284,168.3636363636364
2022-09-29 16:00:00,34507909726.341133,30000000.0,15427422.147157198,175.943143812709
2022-09-29 17:00:00,18862983659.919197,30000000.0,15057128.164983168,163.75420875420883
2022-09-29 18:00:00,15943920503.87249,29999803.201342288,15227084.010067113,156.97315436241618
2022-09-29 19:00:00,14419172491.140459,30000000.0,15211183.163879598,157.80267558528436
2022-09-29 20:00:00,20867736844.298679,29999901.600671139,15322453.456375832,190.41946308724818
2022-09-29 21:00:00,11821755744.894915,30000000.0,15295249.057627121,162.18305084745754
2022-09-29 22:00:00,9958144096.0976353,30000000.0,15192315.730639743,157.78451178451172
2022-09-29 23:00:00,9738499055.903326,30000000.0,15237311.96333334,152.36
2022-09-30 00:00:00,10545142102.560011,30000000.0,15303028.413333343,165.74999999999997
2022-09-30 01:00:00,9653208184.2214756,30000000.0,15389188.114093959,168.88926174496646
2022-09-30 02:00:00,10325641935.979794,30000000.0,15248264.208754215,156.13468013468014
2022-09-30 03:00:00,20970956190.58923,30000000.0,15473412.720538715,172.48821548821553
2022-09-30 04:00:00,11247614987.846661,29999902.256666649,15206309.873333344,169.99000000000007
2022-09-30 05:00:00,9572576377.7684517,30000000.0,15217552.526845651,165.16442953020135
2022-09-30 06:00:00,9591509377.0404053,30000000.0,15368180.094276089,170.76767676767682
2022-09-30 07:00:00,9900557075.3355713,29999901.600671146,15227333.768456379,167.536912751678
2022-09-30 08:00:00,9882168570.4493313,30000000.0,15398356.432432424,183.86486486486476
2022-09-30 09:00:00,9697992842.0702248,30000000.0,15185505.324414726,173.7725752508361
2022-09-30 10:00:00,8302769687.0300026,30000000.0,15290996.960000005,176.52666666666664
2022-09-30 11:00:00,8962629038.96001,30000000.0,15418518.123333333,176.17666666666673
2022-09-30 12:00:00,16857598378.683512,30000000.0,15606660.54208754,187.14141414141417
2022-09-30 13:00:00,17357347724.347824,30000000.0,15161673.588628773,176.43812709030095
2022-09-30 14:00:00,18945270935.374592,30000000.0,15369316.060200669,173.17056856187273
2022-09-30 15:00:00,27652983904.239059,29999901.269360274,15602687.824915821,173.96632996632985
2022-09-30 16:00:00,27536978646.69128,30000000.0,15000821.734899333,170.80201342281873
